Title,URL,Summary,Updated,Category,Document Link,Is IPO
S-1 - Applied Digital Corp. (0001144879) (Filer),https://www.sec.gov/Archives/edgar/data/1144879/000149315224039591/0001493152-24-039591-index.htm,<b>Filed:</b> 2024-10-04 <b>AccNo:</b> 0001493152-24-039591 <b>Size:</b> 485 KB,2024-10-04T17:31:38-04:00,S-1,https://www.sec.gov/Archives/edgar/data/1144879/000149315224039591/forms-1.htm,True
S-1/A - Invizyne Technologies Inc (0002010788) (Filer),https://www.sec.gov/Archives/edgar/data/2010788/000149315224039580/0001493152-24-039580-index.htm,<b>Filed:</b> 2024-10-04 <b>AccNo:</b> 0001493152-24-039580 <b>Size:</b> 7 MB,2024-10-04T17:28:25-04:00,S-1/A,https://www.sec.gov/Archives/edgar/data/2010788/000149315224039580/forms-1a.htm,True
S-1 - MGO Global Inc. (0001902794) (Filer),https://www.sec.gov/Archives/edgar/data/1902794/000149315224039573/0001493152-24-039573-index.htm,<b>Filed:</b> 2024-10-04 <b>AccNo:</b> 0001493152-24-039573 <b>Size:</b> 10 MB,2024-10-04T17:26:37-04:00,S-1,https://www.sec.gov/ix?doc=/Archives/edgar/data/1902794/000149315224039573/forms-1.htm,False
S-1 - MULLEN AUTOMOTIVE INC. (0001499961) (Filer),https://www.sec.gov/Archives/edgar/data/1499961/000182912624006661/0001829126-24-006661-index.htm,<b>Filed:</b> 2024-10-04 <b>AccNo:</b> 0001829126-24-006661 <b>Size:</b> 786 KB,2024-10-04T17:15:49-04:00,S-1,https://www.sec.gov/Archives/edgar/data/1499961/000182912624006661/mullenautomotive_s1.htm,True
"S-1/A - M2i Global, Inc. (0001753373) (Filer)",https://www.sec.gov/Archives/edgar/data/1753373/000149315224039526/0001493152-24-039526-index.htm,<b>Filed:</b> 2024-10-04 <b>AccNo:</b> 0001493152-24-039526 <b>Size:</b> 4 MB,2024-10-04T16:28:42-04:00,S-1/A,https://www.sec.gov/ix?doc=/Archives/edgar/data/1753373/000149315224039526/forms-1a.htm,False
S-1 - Oaktree Acquisition Corp. III Life Sciences (0002029769) (Filer),https://www.sec.gov/Archives/edgar/data/2029769/000119312524233080/0001193125-24-233080-index.htm,<b>Filed:</b> 2024-10-04 <b>AccNo:</b> 0001193125-24-233080 <b>Size:</b> 3 MB,2024-10-04T16:25:10-04:00,S-1,https://www.sec.gov/Archives/edgar/data/2029769/000119312524233080/d814216ds1.htm,True
"S-1 - Banzai International, Inc. (0001826011) (Filer)",https://www.sec.gov/Archives/edgar/data/1826011/000149315224039516/0001493152-24-039516-index.htm,<b>Filed:</b> 2024-10-04 <b>AccNo:</b> 0001493152-24-039516 <b>Size:</b> 20 MB,2024-10-04T16:11:14-04:00,S-1,https://www.sec.gov/ix?doc=/Archives/edgar/data/1826011/000149315224039516/forms-1.htm,False
S-1/A - FG Merger II Corp. (0001906364) (Filer),https://www.sec.gov/Archives/edgar/data/1906364/000110465924106221/0001104659-24-106221-index.htm,<b>Filed:</b> 2024-10-04 <b>AccNo:</b> 0001104659-24-106221 <b>Size:</b> 1 MB,2024-10-04T15:33:38-04:00,S-1/A,https://www.sec.gov/Archives/edgar/data/1906364/000110465924106221/tm2328513d5_s1a.htm,True
"S-1/A - Invech Holdings, Inc. (0001009919) (Filer)",https://www.sec.gov/Archives/edgar/data/1009919/000168316824006934/0001683168-24-006934-index.htm,<b>Filed:</b> 2024-10-04 <b>AccNo:</b> 0001683168-24-006934 <b>Size:</b> 1 MB,2024-10-04T15:06:37-04:00,S-1/A,https://www.sec.gov/Archives/edgar/data/1009919/000168316824006934/invech_s1a12.htm,True
"S-1 - INFINITY NATURAL RESOURCES, INC. (0002029118) (Filer)",https://www.sec.gov/Archives/edgar/data/2029118/000119312524232829/0001193125-24-232829-index.htm,<b>Filed:</b> 2024-10-04 <b>AccNo:</b> 0001193125-24-232829 <b>Size:</b> 7 MB,2024-10-04T11:52:43-04:00,S-1,https://www.sec.gov/Archives/edgar/data/2029118/000119312524232829/d826795ds1.htm,True
